2022-10-19/11:42:43		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-10-19/11:42:44		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-10-19/11:42:44		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-10-19/11:42:45		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-10-19/11:42:45		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-10-19/11:42:46		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-10-19/11:42:46		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-10-19/11:42:47		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-10-19/11:42:47		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-10-19/13:00:40		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-10-19/13:00:41		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-10-19/13:00:41		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-10-19/13:00:42		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-10-19/13:00:43		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-10-19/13:00:43		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-10-19/13:00:44		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-10-19/13:00:45		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-10-19/13:00:45		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-10-19/13:32:07		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-10-19/13:32:08		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-10-19/13:32:08		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-10-19/13:32:09		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-10-19/13:32:10		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-10-19/13:32:10		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-10-19/13:32:11		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-10-19/13:32:12		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-10-19/13:32:12		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-10-19/14:36:29		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-10-19/14:36:30		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-10-19/14:36:31		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-10-19/14:36:32		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-10-19/14:36:33		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-10-19/14:36:33		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-10-19/14:36:34		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-10-19/14:36:36		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-10-19/14:36:36		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-10-19/14:39:38		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-10-19/14:39:38		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-10-19/14:39:38		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-10-19/14:39:39		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-10-19/14:39:40		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-10-19/14:39:40		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-10-19/14:39:41		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-10-19/14:39:42		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-10-19/14:39:42		 wafer_29012020_050617.csv: File Transformed successfully!!
